  19   3 0.00459458
  20   3 0.00480467
  21   3 0.00501002
  22   3 0.00521042
  23   3 0.00540569
  24   3 0.00559561
  25   3 0.00578002
  26   3 0.00595872
  27   3 0.00613154
  28   3 0.00629831
  29   3 0.00645887
  30   3 0.00661305
  31   3 0.00676070
  32   3 0.00690168
  33   3 0.00703585
  34   3 0.00716308
  35   3 0.00728323
  36   3 0.00739620
  37   3 0.00750187
  38   3 0.00760014
  39   3 0.00769090
  40   3 0.00777408
  41   3 0.00784958
  42   3 0.00791734
  43   3 0.00797728
  44   3 0.00802935
  45   3 0.00807350
  46   3 0.00810968
  47   3 0.00813786
  48   3 0.00815800
  49   3 0.00817009
  50   3 0.00817412
  51   3 0.00817009
  52   3 0.00815799
  53   3 0.00813784
  54   3 0.00810966
  55   3 0.00807347
  56   3 0.00802932
  57   3 0.00797724
  58   3 0.00791729
  59   3 0.00784953
  60   3 0.00777402
  61   3 0.00769084
  62   3 0.00760007
  63   3 0.00750180
  64   3 0.00739613
  65   3 0.00728315
  66   3 0.00716299
  67   3 0.00703577
  68   3 0.00690159
  69   3 0.00676061
  70   3 0.00661295
  71   3 0.00645877
  72   3 0.00629822
  73   3 0.00613145
  74   3 0.00595862
  75   3 0.00577992
  76   3 0.00559552
  77   3 0.00540559
  78   3 0.00521033
  79   3 0.00500992
  80   3 0.00480458
  81   3 0.00459449
  82   3 0.00437986
  83   3 0.00416092
  84   3 0.00393787
  85   3 0.00371093
  86   3 0.00348033
  87   3 0.00324629
  88   3 0.00300906
  89   3 0.00276885
  90   3 0.00252591
  91   3 0.00228048
  92   3 0.00203279
  93   3 0.00178310
  94   3 0.00153166
  95   3 0.00127870
  96   3 0.00102447
  97   3 0.00076924
  98   3 0.00051325
  99   3 0.00025675
   1   4 0.00034274
   2   4 0.00068514
   3   4 0.00102686
   4   4 0.00136757
   5   4 0.00170693
   6   4 0.00204461
   7   4 0.00238027
   8   4 0.00271357
   9   4 0.00304421
  10   4 0.00337183
  11   4 0.00369613
  12   4 0.00401678
  13   4 0.00433347
  14   4 0.00464588
  15   4 0.00495371
  16   4 0.00525664
  17   4 0.00555439
  18   4 0.00584666
  19   4 0.00613315
  20   4 0.00641360
  21   4 0.00668771
  22   4 0.00695523
  23   4 0.00721588
  24   4 0.00746941
  25   4 0.00771556
  26   4 0.00795411
  27   4 0.00818480
  28   4 0.00840742
  29   4 0.00862173
  30   4 0.00882754
  31   4 0.00902464
  32   4 0.00921283
  33   4 0.00939193
  34   4 0.00956176
  35   4 0.00972216
  36   4 0.00987295
  37   4 0.01001401
  38   4 0.01014518
  39   4 0.01026634
  40   4 0.01037737
  41   4 0.01047816
  42   4 0.01056861
  43   4 0.01064862
  44   4 0.01071813
  45   4 0.01077706
  46   4 0.01082535
  47   4 0.01086296
  48   4 0.01088985
  49   4 0.01090600
  50   4 0.01091138
  51   4 0.01090599
  52   4 0.01088984
  53   4 0.01086294
  54   4 0.01082532
  55   4 0.01077702
  56   4 0.01071808
  57   4 0.01064857
  58   4 0.01056854
  59   4 0.01047809
  60   4 0.01037730
  61   4 0.01026626
  62   4 0.01014509
  63   4 0.01001391
  64   4 0.00987285
  65   4 0.00972205
  66   4 0.00956165
  67   4 0.00939182
  68   4 0.00921271
  69   4 0.00902452
  70   4 0.00882742
  71   4 0.00862161
  72   4 0.00840729
  73   4 0.00818467
  74   4 0.00795398
  75   4 0.00771543
  76   4 0.00746928
  77   4 0.00721575
  78   4 0.00695510
  79   4 0.00668759
  80   4 0.00641347
  81   4 0.00613303
  82   4 0.00584654
  83   4 0.00555427
  84   4 0.00525653
  85   4 0.00495360
  86   4 0.00464578
  87   4 0.00433337
  88   4 0.00401669
  89   4 0.00369605
  90   4 0.00337175
  91   4 0.00304413
  92   4 0.00271351
  93   4 0.00238021
  94   4 0.00204456
  95   4 0.00170689
  96   4 0.00136754
  97   4 0.00102684
  98   4 0.00068512
  99   4 0.00034273
   1   5 0.00042906
   2   5 0.00085769
   3   5 0.00128548
   4   5 0.00171199
   5   5 0.00213682
   6   5 0.00255954
   7   5 0.00297973
   8   5 0.00339699
   9   5 0.00381089
  10   5 0.00422103
  11   5 0.00462700
  12   5 0.00502841
  13   5 0.00542485
  14   5 0.00581594
  15   5 0.00620129
  16   5 0.00658052
  17   5 0.00695326
  18   5 0.00731913
  19   5 0.00767778
  20   5 0.00802886
  21   5 0.00837201
  22   5 0.00870690
  23   5 0.00903319
  24   5 0.00935057
  25   5 0.00965872
  26   5 0.00995734
  27   5 0.01024614
  28   5 0.01052482
  29   5 0.01079311
  30   5 0.01105075
  31   5 0.01129749
  32   5 0.01153308
  33   5 0.01175728
  34   5 0.01196988
  35   5 0.01217067
  36   5 0.01235945
  37   5 0.01253603
  38   5 0.01270024
  39   5 0.01285191
  40   5 0.01299090
  41   5 0.01311707
  42   5 0.01323030
  43   5 0.01333047
  44   5 0.01341748
  45   5 0.01349125
  46   5 0.01355171
