after: itr =  11, myrank =   1, x(  2, 2) =     0.41827E-01, x(  2, 3) =     0.10247E+00
after: itr =  11, myrank =   1, x(  3, 2) =     0.42701E-01, x(  3, 3) =     0.10153E+00
after: itr =  11, myrank =   1, x(  4, 2) =     0.26050E-01, x(  4, 3) =     0.63095E-01
after: itr =  11, myrank =   1, x(  5, 2) =     0.41827E-01, x(  5, 3) =     0.10247E+00
after: itr =  11, myrank =   1, x(  6, 2) =     0.68807E-01, x(  6, 3) =     0.16458E+00
after: itr =  11, myrank =   1, x(  7, 2) =     0.68038E-01, x(  7, 3) =     0.16535E+00
after: itr =  11, myrank =   1, x(  8, 2) =     0.42413E-01, x(  8, 3) =     0.10184E+00
after: itr =  11, myrank =   1, x(  9, 2) =     0.42701E-01, x(  9, 3) =     0.10153E+00
after: itr =  11, myrank =   1, x( 10, 2) =     0.68038E-01, x( 10, 3) =     0.16535E+00
after: itr =  11, myrank =   1, x( 11, 2) =     0.68748E-01, x( 11, 3) =     0.16465E+00
after: itr =  11, myrank =   1, x( 12, 2) =     0.42475E-01, x( 12, 3) =     0.10177E+00
after: itr =  11, myrank =   1, x( 13, 2) =     0.26050E-01, x( 13, 3) =     0.63095E-01
after: itr =  11, myrank =   1, x( 14, 2) =     0.42413E-01, x( 14, 3) =     0.10184E+00
after: itr =  11, myrank =   1, x( 15, 2) =     0.42475E-01, x( 15, 3) =     0.10177E+00
after: itr =  11, myrank =   1, x( 16, 2) =     0.26211E-01, x( 16, 3) =     0.62939E-01
before: itr =  16, myrank =   1, x(  1, 2) =     0.26065E-01, x(  1, 3) =     0.62901E-01
before: itr =  16, myrank =   1, x(  2, 2) =     0.42168E-01, x(  2, 3) =     0.10169E+00
before: itr =  16, myrank =   1, x(  3, 2) =     0.42390E-01, x(  3, 3) =     0.10180E+00
before: itr =  16, myrank =   1, x(  4, 2) =     0.26192E-01, x(  4, 3) =     0.62924E-01
before: itr =  16, myrank =   1, x(  5, 2) =     0.42168E-01, x(  5, 3) =     0.10169E+00
before: itr =  16, myrank =   1, x(  6, 2) =     0.68551E-01, x(  6, 3) =     0.16467E+00
before: itr =  16, myrank =   1, x(  7, 2) =     0.68634E-01, x(  7, 3) =     0.16477E+00
before: itr =  16, myrank =   1, x(  8, 2) =     0.42389E-01, x(  8, 3) =     0.10182E+00
before: itr =  16, myrank =   1, x(  9, 2) =     0.42390E-01, x(  9, 3) =     0.10180E+00
before: itr =  16, myrank =   1, x( 10, 2) =     0.68634E-01, x( 10, 3) =     0.16477E+00
before: itr =  16, myrank =   1, x( 11, 2) =     0.68632E-01, x( 11, 3) =     0.16479E+00
before: itr =  16, myrank =   1, x( 12, 2) =     0.42408E-01, x( 12, 3) =     0.10184E+00
before: itr =  16, myrank =   1, x( 13, 2) =     0.26192E-01, x( 13, 3) =     0.62924E-01
before: itr =  16, myrank =   1, x( 14, 2) =     0.42389E-01, x( 14, 3) =     0.10182E+00
before: itr =  16, myrank =   1, x( 15, 2) =     0.42408E-01, x( 15, 3) =     0.10184E+00
before: itr =  16, myrank =   1, x( 16, 2) =     0.26206E-01, x( 16, 3) =     0.62941E-01
after: itr =  16, myrank =   1, x(  1, 2) =     0.26250E-01, x(  1, 3) =     0.62901E-01
after: itr =  16, myrank =   1, x(  2, 2) =     0.42559E-01, x(  2, 3) =     0.10169E+00
after: itr =  16, myrank =   1, x(  3, 2) =     0.42445E-01, x(  3, 3) =     0.10180E+00
after: itr =  16, myrank =   1, x(  4, 2) =     0.26226E-01, x(  4, 3) =     0.62924E-01
