before: itr =  11, myrank =   0, x( 15, 2) =     0.12696E-02, x( 15, 3) =     0.00000E+00
before: itr =  11, myrank =   0, x( 16, 2) =     0.00000E+00, x( 16, 3) =     0.00000E+00
before: itr =  11, myrank =   0, x( 17, 2) =     0.00000E+00, x( 17, 3) =     0.00000E+00
before: itr =  11, myrank =   0, x( 18, 2) =     0.00000E+00, x( 18, 3) =     0.00000E+00
before: itr =  11, myrank =   0, x( 19, 2) =     0.00000E+00, x( 19, 3) =     0.00000E+00
before: itr =  11, myrank =   0, x( 20, 2) =     0.00000E+00, x( 20, 3) =     0.00000E+00
after: itr =  11, myrank =   0, x( -4, 2) =     0.00000E+00, x( -4, 3) =     0.76860E-01
after: itr =  11, myrank =   0, x( -3, 2) =     0.00000E+00, x( -3, 3) =     0.13265E+00
after: itr =  11, myrank =   0, x( -2, 2) =     0.00000E+00, x( -2, 3) =     0.15354E+00
after: itr =  11, myrank =   0, x( -1, 2) =     0.00000E+00, x( -1, 3) =     0.13292E+00
after: itr =  11, myrank =   0, x(  0, 2) =     0.00000E+00, x(  0, 3) =     0.76702E-01
after: itr =  11, myrank =   0, x(  1, 2) =     0.19184E-01, x(  1, 3) =     0.57997E-01
after: itr =  11, myrank =   0, x(  2, 2) =     0.31052E-01, x(  2, 3) =     0.10262E+00
after: itr =  11, myrank =   0, x(  3, 2) =     0.36475E-01, x(  3, 3) =     0.11790E+00
after: itr =  11, myrank =   0, x(  4, 2) =     0.31633E-01, x(  4, 3) =     0.10209E+00
after: itr =  11, myrank =   0, x(  5, 2) =     0.18188E-01, x(  5, 3) =     0.59025E-01
after: itr =  11, myrank =   0, x(  6, 2) =     0.36805E-02, x(  6, 3) =     0.00000E+00
after: itr =  11, myrank =   0, x(  7, 2) =     0.62783E-02, x(  7, 3) =     0.00000E+00
after: itr =  11, myrank =   0, x(  8, 2) =     0.74629E-02, x(  8, 3) =     0.00000E+00
after: itr =  11, myrank =   0, x(  9, 2) =     0.64609E-02, x(  9, 3) =     0.00000E+00
after: itr =  11, myrank =   0, x( 10, 2) =     0.37059E-02, x( 10, 3) =     0.00000E+00
after: itr =  11, myrank =   0, x( 11, 2) =     0.00000E+00, x( 11, 3) =     0.00000E+00
after: itr =  11, myrank =   0, x( 12, 2) =     0.00000E+00, x( 12, 3) =     0.00000E+00
after: itr =  11, myrank =   0, x( 13, 2) =     0.00000E+00, x( 13, 3) =     0.00000E+00
after: itr =  11, myrank =   0, x( 14, 2) =     0.00000E+00, x( 14, 3) =     0.00000E+00
after: itr =  11, myrank =   0, x( 15, 2) =     0.00000E+00, x( 15, 3) =     0.00000E+00
after: itr =  11, myrank =   0, x( 16, 2) =     0.00000E+00, x( 16, 3) =     0.00000E+00
after: itr =  11, myrank =   0, x( 17, 2) =     0.00000E+00, x( 17, 3) =     0.00000E+00
after: itr =  11, myrank =   0, x( 18, 2) =     0.00000E+00, x( 18, 3) =     0.00000E+00
after: itr =  11, myrank =   0, x( 19, 2) =     0.00000E+00, x( 19, 3) =     0.00000E+00
after: itr =  11, myrank =   0, x( 20, 2) =     0.00000E+00, x( 20, 3) =     0.00000E+00
before: itr =  16, myrank =   0, x( -4, 2) =     0.00000E+00, x( -4, 3) =     0.76738E-01
before: itr =  16, myrank =   0, x( -3, 2) =     0.00000E+00, x( -3, 3) =     0.13287E+00
before: itr =  16, myrank =   0, x( -2, 2) =     0.00000E+00, x( -2, 3) =     0.15342E+00
before: itr =  16, myrank =   0, x( -1, 2) =     0.00000E+00, x( -1, 3) =     0.13288E+00
before: itr =  16, myrank =   0, x(  0, 2) =     0.00000E+00, x(  0, 3) =     0.76717E-01
before: itr =  16, myrank =   0, x(  1, 2) =     0.18164E-01, x(  1, 3) =     0.58930E-01
before: itr =  16, myrank =   0, x(  2, 2) =     0.31484E-01, x(  2, 3) =     0.10216E+00
before: itr =  16, myrank =   0, x(  3, 2) =     0.36385E-01, x(  3, 3) =     0.11802E+00
before: itr =  16, myrank =   0, x(  4, 2) =     0.31520E-01, x(  4, 3) =     0.10221E+00
before: itr =  16, myrank =   0, x(  5, 2) =     0.18195E-01, x(  5, 3) =     0.59007E-01
before: itr =  16, myrank =   0, x(  6, 2) =     0.37142E-02, x(  6, 3) =     0.00000E+00
before: itr =  16, myrank =   0, x(  7, 2) =     0.64441E-02, x(  7, 3) =     0.00000E+00
before: itr =  16, myrank =   0, x(  8, 2) =     0.74525E-02, x(  8, 3) =     0.00000E+00
before: itr =  16, myrank =   0, x(  9, 2) =     0.64532E-02, x(  9, 3) =     0.00000E+00
before: itr =  16, myrank =   0, x( 10, 2) =     0.37277E-02, x( 10, 3) =     0.00000E+00
before: itr =  16, myrank =   0, x( 11, 2) =     0.66175E-03, x( 11, 3) =     0.00000E+00
before: itr =  16, myrank =   0, x( 12, 2) =     0.13855E-02, x( 12, 3) =     0.00000E+00
before: itr =  16, myrank =   0, x( 13, 2) =     0.18218E-02, x( 13, 3) =     0.00000E+00
before: itr =  16, myrank =   0, x( 14, 2) =     0.17939E-02, x( 14, 3) =     0.00000E+00
before: itr =  16, myrank =   0, x( 15, 2) =     0.12984E-02, x( 15, 3) =     0.00000E+00
before: itr =  16, myrank =   0, x( 16, 2) =     0.00000E+00, x( 16, 3) =     0.00000E+00
before: itr =  16, myrank =   0, x( 17, 2) =     0.00000E+00, x( 17, 3) =     0.00000E+00
before: itr =  16, myrank =   0, x( 18, 2) =     0.00000E+00, x( 18, 3) =     0.00000E+00
before: itr =  16, myrank =   0, x( 19, 2) =     0.00000E+00, x( 19, 3) =     0.00000E+00
before: itr =  16, myrank =   0, x( 20, 2) =     0.00000E+00, x( 20, 3) =     0.00000E+00
after: itr =  16, myrank =   0, x( -4, 2) =     0.00000E+00, x( -4, 3) =     0.76701E-01
after: itr =  16, myrank =   0, x( -3, 2) =     0.00000E+00, x( -3, 3) =     0.13287E+00
after: itr =  16, myrank =   0, x( -2, 2) =     0.00000E+00, x( -2, 3) =     0.15343E+00
after: itr =  16, myrank =   0, x( -1, 2) =     0.00000E+00, x( -1, 3) =     0.13287E+00
after: itr =  16, myrank =   0, x(  0, 2) =     0.00000E+00, x(  0, 3) =     0.76712E-01
after: itr =  16, myrank =   0, x(  1, 2) =     0.18164E-01, x(  1, 3) =     0.59050E-01
after: itr =  16, myrank =   0, x(  2, 2) =     0.31484E-01, x(  2, 3) =     0.10226E+00
after: itr =  16, myrank =   0, x(  3, 2) =     0.36385E-01, x(  3, 3) =     0.11805E+00
after: itr =  16, myrank =   0, x(  4, 2) =     0.31520E-01, x(  4, 3) =     0.10223E+00
after: itr =  16, myrank =   0, x(  5, 2) =     0.18195E-01, x(  5, 3) =     0.59023E-01
after: itr =  16, myrank =   0, x(  6, 2) =     0.37142E-02, x(  6, 3) =     0.00000E+00
after: itr =  16, myrank =   0, x(  7, 2) =     0.64441E-02, x(  7, 3) =     0.00000E+00
after: itr =  16, myrank =   0, x(  8, 2) =     0.74525E-02, x(  8, 3) =     0.00000E+00
after: itr =  16, myrank =   0, x(  9, 2) =     0.64532E-02, x(  9, 3) =     0.00000E+00
after: itr =  16, myrank =   0, x( 10, 2) =     0.37277E-02, x( 10, 3) =     0.00000E+00
after: itr =  16, myrank =   0, x( 11, 2) =     0.00000E+00, x( 11, 3) =     0.00000E+00
after: itr =  16, myrank =   0, x( 12, 2) =     0.00000E+00, x( 12, 3) =     0.00000E+00
after: itr =  16, myrank =   0, x( 13, 2) =     0.00000E+00, x( 13, 3) =     0.00000E+00
after: itr =  16, myrank =   0, x( 14, 2) =     0.00000E+00, x( 14, 3) =     0.00000E+00
after: itr =  16, myrank =   0, x( 15, 2) =     0.00000E+00, x( 15, 3) =     0.00000E+00
after: itr =  16, myrank =   0, x( 16, 2) =     0.00000E+00, x( 16, 3) =     0.00000E+00
after: itr =  16, myrank =   0, x( 17, 2) =     0.00000E+00, x( 17, 3) =     0.00000E+00
after: itr =  16, myrank =   0, x( 18, 2) =     0.00000E+00, x( 18, 3) =     0.00000E+00
after: itr =  16, myrank =   0, x( 19, 2) =     0.00000E+00, x( 19, 3) =     0.00000E+00
after: itr =  16, myrank =   0, x( 20, 2) =     0.00000E+00, x( 20, 3) =     0.00000E+00
before: itr =  21, myrank =   0, x( -4, 2) =     0.00000E+00, x( -4, 3) =     0.76713E-01
before: itr =  21, myrank =   0, x( -3, 2) =     0.00000E+00, x( -3, 3) =     0.13287E+00
before: itr =  21, myrank =   0, x( -2, 2) =     0.00000E+00, x( -2, 3) =     0.15343E+00
before: itr =  21, myrank =   0, x( -1, 2) =     0.00000E+00, x( -1, 3) =     0.13287E+00
