before: itr =  21, myrank =   1, x( 11, 2) =     0.46496E-01, x( 11, 3) =     0.15205E+00
before: itr =  21, myrank =   1, x( 12, 2) =     0.28736E-01, x( 12, 3) =     0.93970E-01
before: itr =  21, myrank =   1, x( 13, 2) =     0.23550E-01, x( 13, 3) =     0.60233E-01
before: itr =  21, myrank =   1, x( 14, 2) =     0.38104E-01, x( 14, 3) =     0.97458E-01
before: itr =  21, myrank =   1, x( 15, 2) =     0.38104E-01, x( 15, 3) =     0.97458E-01
before: itr =  21, myrank =   1, x( 16, 2) =     0.23549E-01, x( 16, 3) =     0.60232E-01
before: itr =  21, myrank =   1, x( 17, 2) =     0.61561E-02, x( 17, 3) =     0.00000E+00
before: itr =  21, myrank =   1, x( 18, 2) =     0.99600E-02, x( 18, 3) =     0.00000E+00
before: itr =  21, myrank =   1, x( 19, 2) =     0.99598E-02, x( 19, 3) =     0.00000E+00
before: itr =  21, myrank =   1, x( 20, 2) =     0.61552E-02, x( 20, 3) =     0.00000E+00
after: itr =  21, myrank =   1, x( -3, 2) =     0.00000E+00, x( -3, 3) =     0.00000E+00
after: itr =  21, myrank =   1, x( -2, 2) =     0.00000E+00, x( -2, 3) =     0.00000E+00
after: itr =  21, myrank =   1, x( -1, 2) =     0.00000E+00, x( -1, 3) =     0.00000E+00
after: itr =  21, myrank =   1, x(  0, 2) =     0.00000E+00, x(  0, 3) =     0.00000E+00
after: itr =  21, myrank =   1, x(  1, 2) =     0.00000E+00, x(  1, 3) =     0.52775E-01
after: itr =  21, myrank =   1, x(  2, 2) =     0.00000E+00, x(  2, 3) =     0.85390E-01
after: itr =  21, myrank =   1, x(  3, 2) =     0.00000E+00, x(  3, 3) =     0.85390E-01
after: itr =  21, myrank =   1, x(  4, 2) =     0.00000E+00, x(  4, 3) =     0.52774E-01
after: itr =  21, myrank =   1, x(  5, 2) =     0.00000E+00, x(  5, 3) =     0.86927E-01
after: itr =  21, myrank =   1, x(  6, 2) =     0.00000E+00, x(  6, 3) =     0.14065E+00
after: itr =  21, myrank =   1, x(  7, 2) =     0.00000E+00, x(  7, 3) =     0.14065E+00
after: itr =  21, myrank =   1, x(  8, 2) =     0.00000E+00, x(  8, 3) =     0.86929E-01
after: itr =  21, myrank =   1, x(  9, 2) =     0.28735E-01, x(  9, 3) =     0.93969E-01
after: itr =  21, myrank =   1, x( 10, 2) =     0.46494E-01, x( 10, 3) =     0.15205E+00
after: itr =  21, myrank =   1, x( 11, 2) =     0.46494E-01, x( 11, 3) =     0.15205E+00
after: itr =  21, myrank =   1, x( 12, 2) =     0.28735E-01, x( 12, 3) =     0.93970E-01
after: itr =  21, myrank =   1, x( 13, 2) =     0.23550E-01, x( 13, 3) =     0.60233E-01
after: itr =  21, myrank =   1, x( 14, 2) =     0.38106E-01, x( 14, 3) =     0.97458E-01
after: itr =  21, myrank =   1, x( 15, 2) =     0.38106E-01, x( 15, 3) =     0.97458E-01
after: itr =  21, myrank =   1, x( 16, 2) =     0.23551E-01, x( 16, 3) =     0.60232E-01
