 epsilon =   9.99999993922529029E-009
 iteration:          500
 relative error =   5.49501557818211526E-004
 iteration:         1000
 relative error =   1.70323743169829037E-004
 iteration:         1500
 relative error =   6.12114540364069084E-005
 iteration:         2000
 relative error =   2.25384304266846509E-005
 iteration:         2500
 relative error =   8.35964535153492275E-006
 iteration:         3000
 relative error =   3.10882879600908660E-006
 iteration:         3500
 relative error =   1.15725940385589347E-006
 iteration:         4000
 relative error =   4.30946077248999775E-007
 iteration:         4500
 relative error =   1.60499662089030660E-007
 iteration:         5000
 relative error =   5.97788124169836941E-008
 iteration:         5500
 relative error =   2.22653038927788791E-008
 iteration:         5905
  38  10 0.03976805
  39  10 0.03703048
  40  10 0.03414677
  41  10 0.03112830
  42  10 0.02798698
  43  10 0.02473521
  44  10 0.02138581
  45  10 0.01795202
  46  10 0.01444738
  47  10 0.01088572
  48  10 0.00728110
  49  10 0.00364775
   1  11 0.00406675
   2  11 0.00811745
   3  11 0.01213612
   4  11 0.01610689
   5  11 0.02001409
   6  11 0.02384231
   7  11 0.02757643
   8  11 0.03120172
   9  11 0.03470388
  10  11 0.03806907
  11  11 0.04128402
  12  11 0.04433604
  13  11 0.04721309
  14  11 0.04990381
  15  11 0.05239758
  16  11 0.05468456
  17  11 0.05675573
  18  11 0.05860290
  19  11 0.06021880
  20  11 0.06159705
  21  11 0.06273219
  22  11 0.06361977
  23  11 0.06425626
  24  11 0.06463916
  25  11 0.06476697
  26  11 0.06463916
  27  11 0.06425626
  28  11 0.06361977
  29  11 0.06273219
  30  11 0.06159705
  31  11 0.06021880
  32  11 0.05860290
  33  11 0.05675573
  34  11 0.05468456
  35  11 0.05239758
  36  11 0.04990381
  37  11 0.04721309
  38  11 0.04433604
  39  11 0.04128402
  40  11 0.03806907
  41  11 0.03470388
  42  11 0.03120172
  43  11 0.02757643
  44  11 0.02384231
  45  11 0.02001409
  46  11 0.01610689
  47  11 0.01213612
  48  11 0.00811745
  49  11 0.00406675
   1  12 0.00450180
   2  12 0.00898584
   3  12 0.01343441
   4  12 0.01782997
   5  12 0.02215516
   6  12 0.02639291
   7  12 0.03052650
   8  12 0.03453962
   9  12 0.03841642
  10  12 0.04214161
  11  12 0.04570049
  12  12 0.04907901
  13  12 0.05226384
  14  12 0.05524240
  15  12 0.05800295
  16  12 0.06053459
  17  12 0.06282733
  18  12 0.06487211
  19  12 0.06666088
  20  12 0.06818656
  21  12 0.06944314
  22  12 0.07042567
  23  12 0.07113025
  24  12 0.07155412
  25  12 0.07169559
  26  12 0.07155412
  27  12 0.07113025
  28  12 0.07042567
  29  12 0.06944314
  30  12 0.06818656
  31  12 0.06666088
  32  12 0.06487211
  33  12 0.06282733
  34  12 0.06053459
  35  12 0.05800295
  36  12 0.05524240
  37  12 0.05226384
  38  12 0.04907901
  39  12 0.04570049
  40  12 0.04214161
  41  12 0.03841642
  42  12 0.03453962
  43  12 0.03052650
  44  12 0.02639291
  45  12 0.02215516
  46  12 0.01782997
  47  12 0.01343441
  48  12 0.00898584
  49  12 0.00450180
   1  13 0.00495462
   2  13 0.00988969
   3  13 0.01478573
   4  13 0.01962342
   5  13 0.02438366
   6  13 0.02904767
   7  13 0.03359704
   8  13 0.03801383
   9  13 0.04228058
  10  13 0.04638048
  11  13 0.05029733
  12  13 0.05401568
  13  13 0.05752086
  14  13 0.06079903
  15  13 0.06383725
  16  13 0.06662354
  17  13 0.06914689
  18  13 0.07139735
  19  13 0.07336604
  20  13 0.07504519
  21  13 0.07642817
  22  13 0.07750952
  23  13 0.07828498
  24  13 0.07875148
  25  13 0.07890718
  26  13 0.07875148
  27  13 0.07828498
  28  13 0.07750952
  29  13 0.07642817
  30  13 0.07504519
  31  13 0.07336604
  32  13 0.07139735
  33  13 0.06914689
  34  13 0.06662354
